Element,Electron Configuration
H,1s1
He,1s2
Li,1s22s1
Be,1s22s2
B,1s22s22p1
C,1s22s22p2
N,1s22s22p3
O,1s22s22p4
F,1s22s22p5
Ne,1s22s22p6
Na,[Ne]3s1
Mg,[Ne]3s2
Al,[Ne]3s23p1
Si,[Ne]3s23p2
P,[Ne]3s23p3
S,[Ne]3s23p4
Cl,[Ne]3s23p5
Ar,[Ne]3s23p6
K,[Ar]4s1
Ca,[Ar]4s2
Sc,[Ar]3d14s2
Ti,[Ar]3d24s2
V,[Ar]3d34s2
Cr,[Ar]3d54s1
Mn,[Ar]3d54s2
Fe,[Ar]3d64s2
Co,[Ar]3d74s2
Ni,[Ar]3d84s2
Cu,[Ar]3d104s1
Zn,[Ar]3d104s2
Ga,[Ar]3d104s2
Ge,[Ar]3d104s2
As,[Ar]3d104s2
Se,[Ar]3d104s2
Br,[Ar]3d104s2
Kr,[Ar]3d104s2
Rb,[Kr]5s1
Sr,[Kr]5s2
Y,[Kr]4d15s2
Zr,[Kr]4d25s2
Nb,[Kr]4d45s1
Mo,[Kr]4d55s1
Tc,[Kr]4d55s2
Ru,[Kr]4d75s1
Rh,[Kr]4d65s1
Pd,[Kr]4d10
Ag,[Kr]4d105s1
Cd,[Kr]4d105s2
In,[Kr]4d105s25p1
Sn,[Kr]4d105s25p2
Sb,[Kr]4d105s2
Te,[Kr]4d105s2
I,[Kr]4d105s2
Xe,[Kr]4d105s2
Cs,[Xe]6s1
Ba,[Xe]6s2
La,[Xe]5d16s2
Ce,[Xe]4f15d16s2
Pr,[Xe]4f36s2
Nd,[Xe]4f46s2
Pm,[Xe]4f56s2
Sm,[Xe]4f66s2
Eu,[Xe]4f76s2
Gd,[Xe]4f75d16s2
Tb,[Xe]4f96s2
Dy,[Xe]4f106s2
Ho,[Xe]4f116s2
Er,[Xe]4f126s2
Tm,[Xe]4f136s2
Yb,[Xe]4f146s2
Lu,[Xe]4f145d16s2
Hf,[Xe]4f145d26s2
Ta,[Xe]4f145d36s2
W,[Xe]4f145d46s2
Re,[Xe]4f145d56s2
Os,[Xe]4f145d66s2
Ir,[Xe]4f145d76s2
Pt,[Xe]4f145d96s1
Au,[Xe]4f145d106s1
Hg,[Xe]4f145d106s2
Tl,[Xe]4f145d106s26p1
Pb,[Xe]4f145d106s2
Bi,[Xe]4f145d106s2
Po,[Xe]4f145d106s26p4
At,[Xe]4f145d106s26p5
Rn,[Xe]4f145d106s26p6
Fr,[Rn]7s1
Ra,[Rn]7s2
Ac,[Rn]5f146d27s2
Th,[Rn]6d27s2
Pa,[Rn]5f26d17s2
U,[Rn]5f36d17s2
Np,[Rn]5f46d17s2
Pu,[Rn]5f67s2
Am,[Rn]5f77s2
Cm,[Rn]5f76d17s2
Bk,[Rn]5f97s2
Cf,[Rn]5f107s2
Es,[Rn]5f117s2
Fm,[Rn]5f127s2
Md,[Rn]5f137s2
No,[Rn]5f147s2
Lr,[Rn]5f146d17s2
Rf,[Rn]6d27s2
Db,[Rn]5f146d37s2
Sg,[Rn]5f146d37s2
Bh,[Rn]5f146d57s2
Hs,[Rn]5f146d67s2
Mt,[Rn]5f146d77s2
