Element,Oxidation States
H,1
He,1s2
Li,1
Be,2
B,3
C,"±4,2   Nearest"
N,"±3,5,4,2"
O,-2
F,-1
Ne,1s22s22p6
Na,1
Mg,2
Al,3
Si,4
P,"±3,5,4"
S,"±2,4,6"
Cl,"±1,3,5,7"
Ar,"±1,3,5,7"
K,1
Ca,2
Sc,3
Ti,"4,3"
V,"5,4,3,2"
Cr,"6,3,2"
Mn,"7,6,4,3,2"
Fe,"2,3"
Co,"2,3"
Ni,"2,3"
Cu,[Ar]3d104s1
Zn,[Ar]3d104s2
Ga,3
Ge,4
As,"±3,5"
Se,"-2,4,6"
Br,"±1,5"
Kr,[Ar]3d104s2
Rb,1
Sr,2
Y,3
Zr,4
Nb,"5,3"
Mo,"6,3,2"
Tc,7
Ru,"2,3,4,6,8"
Rh,"2,3,4"
Pd,"2,4"
Ag,1
Cd,2
In,3
Sn,"4,2"
Sb,"±3,5"
Te,"-2,4,6"
I,"±1,5,7"
Xe,[Kr]4d105s2
Cs,1
Ba,2
La,3
Ce,"3,4"
Pr,"3,4"
Nd,3
Pm,3
Sm,"3,2"
Eu,"3,2"
Gd,3
Tb,"3,4"
Dy,3
Ho,3
Er,3
Tm,"3,2"
Yb,"3,2"
Lu,3
Hf,4
Ta,5
W,"6,5,4,3,2"
Re,"7,6,4,2,-1"
Os,"2,3,4,6,8"
Ir,"2,3,4,6"
Pt,"2,4"
Au,"3,1"
Hg,"2,1"
Tl,"3,1  Nearest Neighbor = 0.341 nm"
Pb,"4,2"
Bi,"3,5"
Po,"4,2"
At,"±1,3,5,7"
Rn,4
Fr,1
Ra,2
Ac,3
Th,4
Pa,"5,4"
U,"6,5,4,3"
Np,"6,5,4,3"
Pu,"6,5,4,3"
Am,"6,5,4,3"
Cm,3
Bk,"4,3"
Cf,3
Es,[Rn]5f117s2
Fm,[Rn]5f127s2
Md,[Rn]5f137s2
No,[Rn]5f147s2
Lr,[Rn]5f146d17s2
Rf,[Rn]6d27s2
Db,[Rn]5f146d37s2
Sg,[Rn]5f146d37s2
Bh,[Rn]5f146d57s2
Hs,[Rn]5f146d67s2
Mt,[Rn]5f146d77s2
